Review,Noun (phrase) - Adjective (phrase),Manually chosen top 5 pairs,,Rating
"Northern Lights Abisko National Park
This is a truly beautiful area to visit and see the Northern Lights. Our first disappointment was after booking the accomodation we got an email a few days later saying the activities would not begin operation until a week after we left and that the restaurant would not be operational. This was really annoying as we could easily have booked a week later had we known. Then once we arrived on the train after an 18 hour trip, with just about everyone else who was booking in at the time, we had to wait for around 3 hours to check into our room, as reception wasn't open until 2pm. It meant we had no where to leave our stuff, and couldn't make use of our few hours of daylight to explore the National Park. Anyhow, this is just the logistical stuff and although it is annoying to deal with these obstacles and time wasting issues when travelling, Abisko is an amazing area, and I can highly recommend this amazing area. The best part was that we were lucky enough to see some of the lights from the warmth of our room. I can highly recommend the location and am grateful to have been able to experience this amazing part of the world.","area - truly beautiful
area - amazing
",place,beautiful,4
"Trails Are Well Sign Posted
There is not a lot to do in Abisko (especially in the low season). We were there to see the northern lights and would have been very bored if not for this National Park.
There are quite a few trails to choose from depending on your ability/how much time you have. We were there in October before any heavy snow fall.
What I really appreciated was how well the trails are marked. There are frequent indicators along the trails which are very reassuring.
You can get there by walking from the main village (30-40mins) or taking the train (less than 10mins).","trails - well-marked
indicator - frequent",lake,frozen,5
"Perfect for beginners
Having done a bit of hiking but still considering ourselves beginners we found this area perfect. There are a number of day hikes (of half day) you can do that are not too strenuous. We tried three of them and only the last one was a bit difficult in that the ground was still soggy in many places and the path was at one point not well marked. There are small mosquitos (called knott in Swedish) that you need to prepare for. They are soundless and do not hurt when they sting (they itch afterwards though). We found our South African repellent quite effective but found out that it does not protect you under a sock, they stung through it in considerable numbers.","area - perfect
day hikes - not too strenuous",trail,pleasant,4
"Winter view
Staying at the Abisko Mountain Lodge is a perfect stay for activities in the park. The Husky sledge ride was brilliant and Julia navigated expertly along the snowy lanes to a tipee where she made a fire, heated drinks and fed us with cinnamon buns, brilliant. The dogs were great and they obviously loved pulling sledges very bouncy and friendly. This was a great way to see the Park.","stay - perfect
Husky sledge ride - brilliant
dogs - great",mountain,snow-covered,5
"Hiking
What a peaceful place to be. It?s you and the nature.
All the walking routes are marked and they all have different length.
We took a nice walk next to the river. If you want to you can walk all day.
But this time of year it?s only light roundabout 2 hours a day. Today it was from 11-2 o clock.
It?s crazy, when it?s 3 o clock it?s pretty much pitch dark and it feels like it?s 10 pm.","place - peaceful
walking routes - marked
length - different
walk - nice",,,5
"Splendid tundra hikes
I may be biased as my favourite type of holiday is hiking - preferably in colder parts of the world (mountains or tundra usually). Abisko has to offer a beautiful scenery and accessible hiking trails. This is also an endpoint of the Kungsleden trail which is on my bucket list to hike. I was here during the summer but I am determined to go back when autumn colours are most beautiful and also in early spring because this place has so much more to offer. Top location for me, highly recommend to everyone.","tundra hikes - splendid
scenery - beautiful
hiking trails - accessible
autumn colours - most beautiful
spring - early
location - top",,,5
"Magical Place!
We went to the Abisko National Park to try and see the Northern Lights. We got lucky, and were treated to a stunning show of the Auroras.

It was just magical to be standing on a huge frozen lake, minus 29 degrees, watching the Northern Lights dance across the sky. An experience I will never forget.

My personal highlight was driving by a Moose on the side of the road, who looked like he was staring up at the sky.","place - magical
show - stunning
lake - huge frozen",,,5
"The start of the Kungsleden and more
This is a beautiful place with many hiking options. Many hikers know the park as the northern start of the King's Trail, but it is also a place filled with many options for shorter backpacking adventures or day hikes. The beauty of the mountains, rivers, lakes, etc. - plus the availability of huts and campsites - make this a wonderful place to explore.","place - beautiful
hiking options - many
place - wonderful",,,5
"Beautiful Park
We had a GREAT time in Abisko. We saw the Northern Lights all 3 nights. The second night being spectacular after a G1 Solar Storm.

The hotel IN the national park (STF Abisko Mountain Station) was great ? we booked a ROOM and not one of the HOSTEL rooms. The rooms are not fancy but big and a king bed which is nice. I signed up for the Sweden National Park membership and that saved me some $ on both the trains and the National Park Hotel.

One day we hiked down to the frozen lake and it was a great, easy night hike. It was beautiful and relaxing.","park - beautiful
time - great
night - spectacular
hotel - great
room - not fancy but big
king bed - nice
lake - frozen
night hike - great, easy
",,,5
"Amazing northern lights experienc
There is some research that has shown that due to Abisko's location in Europe (the mountains and cloud cover) it is one of the best places to see the northern lights and I couldn't agree more. It is stunning and there is an amazing lake that is breathtaking. I was there in January and it was absolutely freezing (maximum of two hours outside) but wow, it was beautiful. There is also a webcam set up by one of the local companies (Lights over Lapland) that shows that northern lights activies so you can stay inside until you see there 'dancing' and then go outside to see the magic - stunning,","northern lights experience - amazing
places - one of the best
lake - amazing",,,5
